LAYERS, UNITS, BATCH_SIZE, LEARNING_RATE, EPOCHS, Accuracy
2,64,8,0.001,30,0.9301666617393490
2,64,32,0.01,30,0.9300833344459530
2,64,128,0.01,30,0.9253333210945120
2,64,32,0.01,20,0.9225000143051140
2,64,8,0.001,20,0.9214166402816770
3,64,8,0.001,30,0.9180833101272580
3,64,32,0.01,30,0.9143333435058590
2,64,128,0.01,20,0.9134166836738580
3,64,32,0.01,20,0.9120833277702330
2,64,32,0.01,10,0.9075833559036250
2,64,8,0.001,10,0.9053333401679990
2,64,32,0.001,30,0.8979166746139520
3,64,128,0.01,30,0.8973333239555350
3,64,8,0.001,20,0.8972499966621390
2,64,128,0.1,30,0.8952500224113460
3,64,32,0.01,10,0.8914999961853020
2,64,128,0.01,10,0.8889166712760920
2,64,128,0.1,20,0.8824999928474420
2,64,32,0.001,20,0.8800833225250240
2,64,128,0.1,10,0.8792499899864190
2,16,128,0.01,30,0.8791666626930230
2,64,8,0.01,20,0.8782500028610220
2,64,8,0.01,30,0.8766666650772090
2,16,8,0.001,20,0.8694999814033500
2,16,8,0.001,30,0.8692499995231620
2,16,32,0.01,30,0.8673333525657650
3,64,128,0.1,30,0.8657500147819510
4,64,32,0.01,30,0.8627499938011160
3,64,8,0.01,30,0.8613333106040950
2,16,32,0.01,20,0.8582500219345090
4,64,8,0.01,30,0.8582500219345090
3,64,128,0.1,20,0.8581666946411130
4,64,32,0.01,20,0.8580833077430720
3,64,8,0.01,20,0.8563333153724670
3,64,128,0.1,10,0.8539166450500480
4,64,128,0.1,30,0.8512499928474420
2,16,128,0.01,20,0.8489999771118160
3,16,32,0.01,30,0.8450833559036250
3,64,128,0.01,20,0.8440833091735830
2,64,8,0.01,10,0.8389999866485590
2,16,32,0.01,10,0.8370833396911620
2,64,8,0.0001,30,0.8337500095367430
2,16,128,0.1,20,0.8329166769981380
2,64,32,0.1,30,0.8293333053588860
3,16,128,0.1,30,0.8288333415985100
4,64,8,0.001,30,0.8258333206176750
2,16,8,0.01,30,0.8247500061988830
2,16,128,0.1,10,0.8247500061988830
3,64,8,0.01,10,0.8230000138282770
4,64,128,0.1,20,0.8223333358764640
2,16,8,0.001,10,0.8195000290870660
2,64,32,0.001,10,0.8137500286102290
2,16,32,0.001,30,0.8087499737739560
3,64,8,0.001,10,0.8013333082199090
2,64,32,0.1,20,0.8001666665077200
3,64,32,0.1,30,0.7960000038146970
3,16,8,0.01,30,0.7954999804496760
3,16,8,0.01,20,0.7898333072662350
2,16,8,0.01,20,0.7866666913032530
3,16,32,0.01,20,0.7862499952316280
2,64,8,0.0001,20,0.7844166755676260
4,64,8,0.01,20,0.7796666622161860
3,64,32,0.1,20,0.7769166827201840
2,16,128,0.01,10,0.7760000228881830
2,64,128,0.001,30,0.7740833163261410
3,16,8,0.001,30,0.7734166383743280
2,16,128,0.1,30,0.7723333239555350
2,64,32,0.1,10,0.7722499966621390
3,16,128,0.1,20,0.7718333601951590
4,64,32,0.1,30,0.7629166841506950
3,64,32,0.1,10,0.7564166784286490
2,16,8,0.01,10,0.7557500004768370
4,64,32,0.1,20,0.7554166913032530
4,64,8,0.01,10,0.7491666674613950
2,16,32,0.001,20,0.7417500019073480
4,64,128,0.1,10,0.7413333058357230
3,16,8,0.001,20,0.7366666793823240
2,16,32,0.1,30,0.7353333234786980
3,16,128,0.01,30,0.7239166498184200
4,64,32,0.01,10,0.7229999899864190
3,16,8,0.01,10,0.7220000028610220
3,64,32,0.001,30,0.7210833430290220
4,16,32,0.01,30,0.7161666750907890
2,64,128,0.001,20,0.7120000123977660
3,16,32,0.01,10,0.7034166455268850
4,16,8,0.01,30,0.7014166712760920
2,16,32,0.1,20,0.6847500205039970
4,64,32,0.1,10,0.6809166669845580
4,16,128,0.1,30,0.6785833239555350
2,64,8,0.0001,10,0.6781666874885550
3,16,128,0.1,10,0.6722499728202810
3,16,32,0.1,30,0.6713333129882810
3,64,128,0.01,10,0.6620000004768370
3,16,128,0.01,20,0.6610833406448360
4,16,128,0.1,20,0.6567500233650200
4,16,32,0.01,20,0.6448333263397210
4,16,32,0.1,30,0.6399166584014890
2,64,32,0.0001,30,0.6363333463668820
2,16,32,0.1,10,0.6305000185966490
2,16,8,0.0001,30,0.6187499761581420
2,64,128,0.001,10,0.6116666793823240
3,64,32,0.001,20,0.6044999957084650
4,64,8,0.1,30,0.5970000028610220
3,16,8,0.001,10,0.5904166698455810
4,16,8,0.01,20,0.5821666717529290
2,16,32,0.001,10,0.5805000066757200
2,64,32,0.0001,20,0.5761666893959040
3,16,32,0.1,10,0.5722500085830680
4,64,8,0.001,20,0.5500000119209280
4,16,8,0.01,10,0.5445833206176750
3,16,32,0.1,20,0.5394166707992550
4,64,8,0.1,10,0.5364166498184200
2,16,8,0.0001,20,0.5318333506584160
3,64,8,0.0001,30,0.5316666960716240
4,64,128,0.01,30,0.5292500257492060
2,64,8,0.1,30,0.5182499885559080
2,16,128,0.001,30,0.5172500014305110
3,64,8,0.1,10,0.5145833492279050
2,64,8,0.1,20,0.5130833387374870
3,16,32,0.001,30,0.5009166598320000
3,64,32,0.001,10,0.4989166557788840
4,16,128,0.1,10,0.4981666803359980
3,16,32,0.001,20,0.4854166805744170
3,16,128,0.01,10,0.4772500097751610
4,16,32,0.1,20,0.4651666581630700
3,64,8,0.0001,20,0.4512499868869780
2,64,8,1.00E-05,30,0.4479166567325590
4,16,8,0.001,30,0.4449999928474420
3,64,8,0.1,30,0.4416666626930230
3,64,128,0.001,30,0.4298333227634430
2,16,128,0.001,20,0.4227499961853020
2,16,8,0.1,20,0.4197500050067900
2,64,32,0.0001,10,0.3965833187103270
4,64,8,0.1,20,0.3963333368301390
4,16,32,0.1,10,0.3870833218097680
4,16,32,0.01,10,0.3733333349227900
4,64,128,0.01,20,0.3714999854564660
2,64,8,0.1,10,0.3714166581630700
2,16,8,0.0001,10,0.3665833473205560
3,16,8,0.1,20,0.3654166758060450
3,64,8,0.1,20,0.3644166588783260
3,16,8,0.0001,30,0.3603333234786980
2,64,8,1.00E-05,20,0.3441666662693020
2,64,128,0.0001,30,0.3293333351612090
3,16,32,0.001,10,0.3160000145435330
4,64,8,0.001,10,0.3159166574478140
3,64,128,0.001,20,0.2930000126361840
2,16,32,0.0001,30,0.2874999940395350
3,16,8,0.1,10,0.2812500000000000
4,16,8,0.001,20,0.2520000040531150
2,64,128,0.0001,20,0.2475833296775810
4,16,128,0.01,30,0.2456666678190230
2,16,128,0.001,10,0.2410833388566970
3,16,8,0.0001,20,0.2389999926090240
2,16,32,0.0001,20,0.2258333265781400
3,16,128,0.001,30,0.2213333398103710
3,64,8,0.0001,10,0.2202499955892560
2,16,8,0.1,30,0.2143333405256270
4,16,8,0.1,30,0.2090833336114880
4,16,128,0.01,20,0.2075833380222320
4,16,8,0.1,10,0.2011666595935820
2,64,8,1.00E-05,10,0.1975000053644180
2,16,8,1.00E-05,30,0.1865833401679990
2,16,32,0.0001,10,0.1795833259820930
2,16,8,0.1,10,0.1792500019073480
2,16,8,1.00E-05,20,0.1698333323001860
2,16,128,0.0001,30,0.1679166704416270
2,16,128,0.0001,20,0.1572500020265570
2,16,8,1.00E-05,10,0.1516666710376730
3,64,32,0.0001,30,0.1505833268165580
3,16,128,0.001,20,0.1465833336114880
2,16,32,1.00E-05,30,0.1440833359956740
2,16,128,0.0001,10,0.1419166624546050
